feature_name,fi_all,fi_dynamic,fi_standing,fi_sitting,fi_laying,fi_walking_up,fi_walking_down
tBodyAccJerk-std()-X,0.0,0.00026405514188637035,0.00019649905486643682,0.0005801012562182263,0.0021582777640353607,0.0008464255438748731,0.00885898944687844
tBodyAccJerk-std()-Y,0.0,0.003845516126030862,0.0006750606275658808,0.0002500041347603436,0.00010765444102142883,0.0018581590692376875,0.0003942215260371231
tBodyAccJerk-std()-Z,0.0,0.0006759795274998861,0.00042839725385667197,8.661386367638549e-05,0.00019945857518553558,0.002282192256674181,0.0006223923935740165
tBodyAccJerk-mad()-X,0.0,0.0,0.0003799349632605186,0.0005859316078087237,0.0005279959737198709,0.0044402175124049655,0.003887834193077934
tBodyAccJerk-mad()-Y,0.0,0.009702456352346771,0.00021647656222685427,0.0019230053739699683,0.0,0.0024536297597911143,0.00033844029010402513
tBodyAccJerk-mad()-Z,0.0,0.00032574468182334983,0.00026486368735753114,0.0005100467163291607,2.9180974277013692e-05,0.00044295689450188716,0.00019181745940375047
tBodyAccJerk-max()-X,0.0,0.0019267085872466366,0.0005148995777928175,0.00045650929098780993,0.0,0.00025624072375847923,0.011259059652631782
tBodyAccJerk-max()-Y,0.0,0.013234014146378871,0.00014666760729574845,6.64350006820728e-05,7.885353628527442e-05,0.00031679655977185885,0.00034023192988938736
tBodyAccJerk-max()-Z,0.0,0.00032413664448379694,0.0002513688915014918,0.0004977211644021544,1.4976596339248285e-05,0.002369416068530675,0.0013368730595078343
tBodyAccJerk-min()-X,0.0,0.0003466530539005423,0.0002327262217019645,0.00043599915369477713,0.00013012468206019068,0.0006803690938216396,0.0010821592525817934
tBodyAccJerk-min()-Y,0.0,0.0002771667109680775,0.0001680488214317852,0.0001766417022291537,3.681248492895413e-05,0.00023058314016049085,0.0001887380989396065
tBodyAccJerk-min()-Z,0.0,0.0003270743173411693,0.00037894523398346406,0.00012007399813808862,0.0,0.00028855935544801534,0.00011954589973583588
tBodyAccJerk-sma(),0.0,0.00040090565130757163,0.0006545160884534061,0.0004442031370082464,0.001952437158610161,0.00163501342598106,0.0006732468256825471
tBodyAccJerk-energy()-X,0.0,0.00037366373243347475,0.0004953127356690013,0.0021591822327767045,0.0021038396450234554,0.002203311652858784,0.00519574994963776
tBodyAccJerk-energy()-Y,0.0,0.00025868397582211604,0.0001752025184911708,0.0004432520860374329,5.614260782663336e-05,0.0024143748506628058,0.0002910967274784407
tBodyAccJerk-energy()-Z,0.0,0.0031710447040874134,0.0006588044186002343,0.00030707725543726265,1.584577861023806e-05,0.0022476737567120662,6.28144861107208e-05
tBodyAccJerk-iqr()-X,0.0,0.00010137221224401311,0.00020344000675771178,0.001580369992237439,0.0018602750057751935,0.0030694724505722693,0.003939848491180863
tBodyAccJerk-iqr()-Y,0.0,0.006751222402184001,0.0004456750448422457,0.0003708981788878542,0.00024557232322400474,0.00021145058636767164,0.0004910236295601855
tBodyAccJerk-iqr()-Z,0.0,0.00012241568781819965,0.0001849164945485004,0.0018594688353391602,3.789053244748826e-05,0.002139703526453852,8.275542132611496e-05
tBodyAccJerk-entropy()-X,0.0,0.004684284475602132,0.0003096530128902402,0.00039907097987541834,0.0019694418607433995,0.0023839968581686193,0.00261283771171557
